dept_acronym,shortcode,project_name,description,total_budget,estimated_completion_date,source,as_of_date,original_document_order
csc,windows-10,Windows 10 Replacement,"Windows 10 Replacement- Upgrade devices to Windows 10 to ensure compliance with Information Technology Policy Implementation Notices
 (ITPIN) (Treasurv Board of Canada Secretariat Direction)",3561727,2020-03-31,8555-421-2460,"May 1, 2019",376
csc,wlm,Workload Migration,"Migration of Applications to New Data Centre - CSC/Parole Board of Canada business applications running in existing legacy National Headquarters and regional data centres will be transformed to Shared Services Canada (SCC) technology standards and then migrated to SSC's new enterprise data centres
 before December 2017.",3644892,2018-04-04,8555-421-266,"June 9, 2016",315
csc,,Workload Migration and Application Modernization Part 1,Modernization and transition of initial batch of current applications to end-state data centers and cloud computing.,4370000,2023-03-31,8530-441-13-505,"April 25, 2022",385
cse,,1. Interim Quantum Safe Capability Project (IQSC),This project ensures that the confidentiality of the Government of Canada’s classified cryptographic devices are protected against future attacks by quantum computing.,10000000,2023-03-31,8530-441-13-505,"April 25, 2022",131
cse,,2. Joint Secure Communications for National Leadership Project w/ PCO (SCNL),"This project is a joint PCO, CSE and SSC initiative that enables a modern, mobile and secure means of communications for Ministers and senior officials.",6600000,2023-03-31,8530-441-13-505,"April 25, 2022",132
csps,,Learning Management Platform,Replacement of the legacy server-based learning platform with a cloud-based solution,1890902,2022-09-30,8530-441-13-505,"April 25, 2022",475
cta,cms,Case Management Project,"Case Management Project: The Canadian Transportation Agency needs to update its current outdated custom case management platform to a modern one. The goal is to allow the CTA to gather more timely and reliable internal performance data for the purposes of reporting on results to Parliamentarians, and Canadians, reduce the risk of critical system failures, and to realize process efficiencies and lower maintenance costs.",1800000,2021-04-30,8555-421-2460,"May 1, 2019",429
dfo,,Aids to Navigation Program Information System Renewal (SIPA Renewal),Planned: Replacement of the aids to navigation database (CCG),7100000,,8530-441-13-505,"April 25, 2022",87
dfo,cg-ari,Application Rationalization Initiative,"Canadian Coast Guard Application Rationalization Initiative - The Canadian Coast Guard (CCG) is seeking to modernize and more efficiently manage its applications through its Application Rationalization Initiative (ARI). Through the ARI, CCG intends to reduce its application footprint by 61% by 2021.
 CCG has already consolidated over 65 applications through the ARI, and intends to consolidate or decommission another 20 applications by 2021.",12000000,2021-03-31,8555-421-266,"June 9, 2016",107
dfo,aquiis,Aquaculture Integrated Information System,"Aquaculture Integrated Information System (AQUIIS)
 The objective of AQUIIS is to make improvements to an existing Geographic Information System (GIS) based public reporting system that is used for a variety of key business goals and objectives.",3390000,2026-03-31,8555-421-2460,"May 1, 2019",204
dfo,ams,Asset Management System (MAINTelligence and Maximo),"Asset Management System
  
 Integration of the vessel-based (MAINTelligence) and the shore-based (MAXIMO) asset maintenance information database. This project will result in an integrated asset management system for both shore and vessel-based Coast Guard assets - enabling the Shore-Based Asset Readiness program lo better deliver its services.",6211500,2021-03-31,8555-421-2460,"May 1, 2019",207
dfo,,CFIS – Canadian Fisheries Information System,"CFIS aims to replace all DFO legacy IT solutions with a national platform that provide licensing, quota and catch & efforts functions to support the FHM sector (around 95 systems including 65 server -based solutions).",12000000,2025-03-31,8530-441-13-505,"April 25, 2022",73
dfo,,Cloud Adoption,[Execution] To provide an alternative hosting platform to new and existing applications/systems / Data. Adopting cloud computing will help DFO maintain IT service excellence during a period of increasing demand for digital services and timely access to emerging technologies.,2725000,2022-06-30,8530-441-13-505,"April 25, 2022",85
dfo,csap,Collaborative Situational Awareness Portal,"Collaborative Situational Awareness Portal (CSAP)
  
 CSAP is a tool that will provide Indigenous communities with maritime information and activities taking place in their territorial waters. It will include shipping traffic, weather, Ice flows, and many other maritime components of interest CSAP will also serve to provide Indigenous communities, CCG
 Operations, and other maritime stakeholders (e.g. commercial shipping, ferries, and ports) with a common baseline of information to coordinate marine
 incidents between them as required.",4054153,2021-04-23,8555-421-2460,"May 1, 2019",211
dfo,,Collaborative Voyage Manaagement System,Ongoing: Project to automate an simplify the reporting formalities for ships navigating in Canadian waters. (CCG),3700000,2024-03-31,8530-441-13-505,"April 25, 2022",92
dfo,,College Fixed Network Assets Upgrade,"Ongoing: This project will replace antiquated fixed network assets, install a public address system, and upgrade Wi-Fi appliances at the Canadian Coast Guard College in Sydney, Nova Scotia. (CCG)",10000000,2024-03-31,8530-441-13-505,"April 25, 2022",86
dfo,,Communication Control System (system used to control our VHF/HF/MF radios to/from MCTS centers and vessels)CCS Evergreen,"Ongoing:  This project will upgrade the system servers, migrate the existing CCS software product to the commercial off-theshelfproduct from the same supplier, while replacing custom hardware with generic components. (CCG)",11200000,2025-03-31,8530-441-13-505,"April 25, 2022",90
dfo,,Communication Portal Integrated Incident Response (CPIIR),"Ongoing: Establish a national communications tool for integrated response incidents during on-water emergencies, events, and exercises.(CCG)",18000000,2023-09-30,8530-441-13-505,"April 25, 2022",88
dfo,ces,Compliance and Enforcement System,"Compliance and Enforcement System (CES)
 The CES project aims to replace an existing enforcement system and a violation system that are currently being used by fishery officers.",2000000,2023-01-31,8555-421-2460,"May 1, 2019",203
